Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Site ID,System ID,Publication Date
296,203.0,47,105,,"Cluster Platform HP DL360 Gen9, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,HPE,China,2016,Industry,41832,,951.743,1539.418,,,,1394.4,Derived,0.683,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia,50329,178874,06/2018
297,204.0,48,456,Sequana BXI,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Atos,Bull,France,2017,Vendor,35360,,947.889,1584.128,3274368.0,,,212.0,Submitted,4.471,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,,68,Intel Xeon Phi,Bull Sequana X1000,Bull Sequana,Custom Interconnect,Bull BXI 1.2,Western Europe,Europe,50630,179038,06/2018
298,205.0,49,155,,"Sugon TC6000, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Internet Company,Sugon,China,2016,Industry,50400,,946.8,1935.36,7502000.0,,,1965.0,Submitted,0.482,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,,6,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50707,179056,06/2018
299,206.0,50,206,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,21600,20160.0,944.2,1908.0,1573000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179209,06/2018
300,207.0,50,207,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,21600,20160.0,944.2,1908.0,1573000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179208,06/2018
301,208.0,48,128,Eole,"Intel Cluster, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path",EDF,Bull,France,2016,Industry,29568,,942.829,1135.411,2129664.0,,,420.87,Submitted,2.24,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,,14,Intel Xeon E5 (Broadwell),Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe,50679,178963,06/2018
302,209.0,50,209,HPC_Cluster,"Sugon TC6000, Xeon E5-2680v3 12C 2.5GHz, 10G Ethernet",Government,Sugon,China,2016,Government,48000,,942.4,1920.0,5243000.0,,,800.0,Submitted,1.178,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,Linux,,12,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50684,179255,06/2018
303,,51,303,Internet Company T FF1,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",Service Provider T,Lenovo,China,2018,Industry,21120,,940.431,1689.6,4502784.0,,,,,,Cluster,Xeon Gold 6133 20C 2.5GHz,Intel Skylake,2500,Linux,Linux,,20,Xeon Gold,Lenovo HR650x,Lenovo ThinkSystem,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50329,179351,06/2018
304,210.0,49,157,,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",China Manufacture Company B,Huawei,China,2017,Industry,32768,,937.943,1101.005,2560128.0,,,416.0,Submitted,2.255,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50704,179049,06/2018
305,211.0,50,211,,"Huawei E9000 Blade Server, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Manufacturing Company (A),Huawei,Sweden,2017,Industry,27664,,935.6,1150.822,3552000.0,,,444.93,Submitted,2.103,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,Linux,Linux,,14,Intel Xeon E5 (Broadwell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe,50752,179301,06/2018
306,,51,306,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,25920,20160.0,934.7,1908.0,768000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179384,06/2018
307,212.0,50,212,,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Internet Service (B),Inspur,China,2017,Industry,52800,,934.2,1943.04,5499000.0,,,,,,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,,12,Intel Xeon E5 (Haswell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50330,179307,06/2018
308,213.0,50,213,,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Internet Service (B),Inspur,China,2017,Industry,52800,,934.2,1943.04,5499000.0,,,,,,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,,12,Intel Xeon E5 (Haswell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50330,179306,06/2018
309,214.0,50,214,,"Inspur SA5212M4, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Internet Service (B),Inspur,China,2017,Industry,52800,,934.2,1943.04,5499000.0,,,,,,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,,12,Intel Xeon E5 (Haswell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50330,179231,06/2018
310,215.0,50,215,CloudSystem,"Sugon I620, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet",IT Service Provider,Sugon,China,2017,Industry,49600,,932.3,1904.64,4616000.0,,,930.0,Submitted,1.002,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,CentOS,Linux,,8,Intel Xeon E5 (Haswell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50745,179264,06/2018
311,,51,311,IT-su,"Sugon TC6000, Xeon E5-2630v4 10C 2.2GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,54000,,931.2,1900.8,417100.0,,,675.0,Submitted,1.38,Cluster,Xeon E5-2630v4 10C 2.2GHz,Intel Broadwell,2200,CentOS,Linux,,10,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50761,179392,06/2018
312,,51,312,IT-h3,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,56000,,920.8,1881.6,4780000.0,,,770.0,Submitted,1.196,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100,Linux,Linux,,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50760,179391,06/2018
313,216.0,50,216,,"Cluster Platform DL380, Xeon E5-2699v4  22C 2.2GHz, 10G Ethernet",Information Technology Company (P),HPE,China,2017,Industry,46640,,918.844,1641.728,,,,,,,Cluster,Xeon E5-2699v4  22C 2.2GHz,Intel Broadwell,2200,Linux,Linux,,22,Intel Xeon E5 (Broadwell),Cluster Platform DL380,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia,50747,179268,06/2018
314,217.0,50,217,,"Sugon I620, Xeon E5-2630v3 8C 2.4GHz, 10G Ethernet",IT Service Provider (L),Sugon,China,2016,Industry,48000,,918.4,1843.2,4540000.0,,,900.0,Submitted,1.02,Cluster,Xeon E5-2630v3 8C 2.4GHz,Intel Haswell,2400,CentOS,Linux,,8,Intel Xeon E5 (Haswell),Sugon I620,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50661,179185,06/2018
315,218.0,49,158,,"Lenovo x3950, Intel Xeon E7-8860v4 18C 2.2GHz, 10G Ethernet",Service Provider T,Lenovo,China,2017,Industry,43200,,915.425,1520.64,1959552.0,,,,,,Cluster,Xeon E7-8860v4 18C 2.2GHz,Intel Broadwell,2200,Linux,Linux,,18,Intel Xeon E7 (Broadwell),Lenovo x3950,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50329,179084,06/2018
316,219.0,49,159,,"Sugon TC6000, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,50000,,914.8,1840.0,5676000.0,,,1235.0,Submitted,0.741,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,,10,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia,50708,179058,06/2018
317,220.0,46,93,,"Apollo 6000 XL2x0a, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",IT Provider (P),HPE,United States,2015,Industry,28800,,914.688,1152.0,,,,1590.0,Derived,0.575,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,,12,Intel Xeon E5 (Haswell),Apollo 6000 XL2x0a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas,50359,178721,06/2018
318,221.0,50,221,Internet Company A N1,"ThinkSystem RD452, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Company A,Lenovo,China,2017,Industry,21600,16800.0,912.659,1602.0,1385664.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),ThinkSystem RD452,Lenovo ThinkSystem,10G,10G Ethernet,Eastern Asia,Asia,50580,179196,06/2018
319,222.0,50,222,Internet Company A N2,"ThinkSystem RD452, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Company A,Lenovo,China,2017,Industry,21600,16800.0,912.659,1602.0,1385664.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),ThinkSystem RD452,Lenovo ThinkSystem,10G,10G Ethernet,Eastern Asia,Asia,50580,179195,06/2018
320,223.0,47,108,OKEANOS,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Cray Inc.,Poland,2016,Academic,26016,,909.614,1082.266,4070592.0,,,585.36,Derived,1.554,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe,49655,178753,06/2018
321,,51,321,Maui,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Institute of Water and Atmospheric Research,Cray Inc.,New Zealand,2018,Research,18560,,908.892,1425.408,2106304.0,,,,,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Australia and New Zealand,Oceania,48475,179420,06/2018
322,,51,322,,"Inspur TS10000, Xeon Platinum 8163 24C 2.5GHz, NVIDIA Tesla V100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,20640,19200.0,906.1,1800.0,642000.0,,,,,,Cluster,Xeon Platinum 8163 24C 2.5GHz,Intel Skylake,2500,CentOS,Linux,NVIDIA Tesla V100,24,Xeon Platinum,Inspur TS10000,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179382,06/2018
323,224.0,49,162,Brooks,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Shared Services Canada,Cray Inc.,Canada,2017,Government,30816,,904.15,1035.418,,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,50719,179099,06/2018
324,225.0,49,163,Hare,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Shared Services Canada,Cray Inc.,Canada,2017,Government,30816,,904.15,1035.418,,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas,50719,179098,06/2018
325,226.0,50,226,,"Lenovo NeXtScale nx360 M5, Xeon E5-2680v4 14C 2.4GHz, 10G Ethernet",Government,Lenovo,China,2017,Government,50400,,902.156,1935.36,3394176.0,,,,,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,,14,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,10G,10G Ethernet,Eastern Asia,Asia,50366,179265,06/2018
326,227.0,37,13,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,78660,29820.0,901.9,1700.21,2150399.0,,1.744,2800.0,Submitted,0.322,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe,50104,177421,06/2018
327,228.0,45,78,SERC,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,India,2015,Academic,31104,,901.506,1244.16,3245184.0,,,607.5,Derived,1.484,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia,50560,178517,06/2018
328,,51,328,DLCluster,"Sugon Cluster W580I, Xeon Gold 5118 12C 2.3GHz, NVIDIA Tesla V100, Infiniband EDR",University,Sugon,China,2018,Research,17200,16000.0,897.2,1444.16,586000.0,,,140.0,Submitted,6.409,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,NVIDIA Tesla V100,12,Xeon Gold,Sugon Cluster W580I,Sugon Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50765,179404,06/2018
329,,51,329,JD D1,"Lenovo x3550, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Company,Lenovo,China,2018,Industry,51360,,895.077,1807.872,5233728.0,,,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,,12,Intel Xeon E5 (Broadwell),Lenovo x3550,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50598,179365,06/2018
330,229.0,39,102,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,81920,,894.439,1048.576,,,,410.9,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas,48688,177735,06/2018
331,230.0,48,135,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,32400,,892.982,1244.16,,,,,,,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas,50172,179017,06/2018
332,231.0,50,231,,"Huawei RH2288H V3 Cluster, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",Simulation Cloud Service A,Huawei,China,2017,Industry,33216,,889.3,1116.058,5120000.0,,,436.99,Submitted,2.035,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,,16,Intel Xeon E5 (Broadwell),Huawei RH2288H V3 Cluster,Huawei Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia,50755,179308,06/2018
333,233.0,50,233,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920.0,884.0,1696.0,1483000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179211,06/2018
334,232.0,50,232,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920.0,884.0,1696.0,1483000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179210,06/2018
335,234.0,50,234,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,18240,17024.0,882.0,1611.2,1445000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179213,06/2018
336,235.0,50,235,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,18240,17024.0,882.0,1611.2,1445000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179212,06/2018
337,236.0,48,201,,"Huawei X6800/XH321 V3/XH620 V3 Cluster, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",Manufacturing Company C,Huawei,Germany,2016,Industry,30184,,881.8,1159.066,3686400.0,,,369.2,Submitted,2.388,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,,14,Intel Xeon E5 (Broadwell),Huawei XH321 V3 Cluster,Huawei Cluster,Infiniband,Infiniband FDR,Western Europe,Europe,50691,178999,06/2018
338,237.0,48,136,,"Lenovo RD450, Xeon E5-2697v3 14C 2.6GHz, 10G Ethernet",Internet Service (S),Lenovo,China,2016,Industry,53200,,880.992,2213.12,4270848.0,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,,14,Intel Xeon E5 (Haswell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50634,178947,06/2018
339,,51,339,JD C1,"Lenovo x3550, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Company,Lenovo,China,2018,Industry,50400,,879.234,1774.08,5184576.0,,,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,Linux,Linux,,12,Intel Xeon E5 (Broadwell),Lenovo x3550,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia,50598,179366,06/2018
340,238.0,48,137,,"FusionServer XH620 V3 Cluster, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet",Internet Company A,Huawei,China,2016,Industry,49600,,875.85,1825.28,5120000.0,,,930.0,Submitted,0.942,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,,10,Intel Xeon E5 (Haswell),FusionServer XH620 V3 Cluster,Huawei Cluster,10G,10G Ethernet,Eastern Asia,Asia,50580,179001,06/2018
341,240.0,50,240,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,45440,,874.8,1817.6,4418000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179228,06/2018
342,239.0,50,239,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,45440,,874.8,1817.6,4418000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179227,06/2018
343,242.0,50,242,,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874.1,1792.0,4387000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,,16,Intel Xeon E5 (Broadwell),Inspur SA5212M4,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179229,06/2018
344,243.0,49,170,Inspur TS10000 HPC Cluster System,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874.1,1792.0,4387000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179120,06/2018
345,241.0,49,171,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874.1,1792.0,4387000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179119,06/2018
346,244.0,41,115,Palmetto2,"HP SL250s Gen8/Lenovo NX360M5, Dell C4130, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m/K40/K20/P100",Clemson University,HPE,United States,2013,Academic,23452,14776.0,870.0,1550.4764,1641472.0,,,1123.5,Submitted,0.774,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas,50100,178083,06/2018
347,,51,347,,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,19200,17920.0,869.2,1696.0,741000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur NF5280M,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia,50596,179377,06/2018
348,245.0,48,138,,"Apollo 6000 XL230a, Xeon E5-2683 v4  16C 2.1GHz, 10G Ethernet",Retail,HPE,United States,2016,Industry,46080,,869.174,1548.288,,,,,,,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,,16,Intel Xeon E5 (Broadwell),Apollo 6000 XL230a,HP Apollo,10G,10G Ethernet,North America,Americas,50031,179034,06/2018
349,246.0,50,246,Internet Company A O1,"ThinkSystem RD452, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Company A,Lenovo,China,2017,Industry,20160,15680.0,866.468,1495.2,1338624.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),ThinkSystem RD452,Lenovo ThinkSystem,10G,10G Ethernet,Eastern Asia,Asia,50580,179246,06/2018
350,247.0,50,247,Internet Company A O2,"ThinkSystem RD452, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G Ethernet",Internet Company A,Lenovo,China,2017,Industry,20160,15680.0,866.468,1495.2,1338624.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,Linux,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),ThinkSystem RD452,Lenovo ThinkSystem,10G,10G Ethernet,Eastern Asia,Asia,50580,179245,06/2018
351,248.0,50,248,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,23040,17920.0,865.0,1696.0,2097000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179216,06/2018
352,249.0,50,249,,"Inspur SA5212H5, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G Ethernet",Internet Service A,Inspur,China,2017,Industry,23040,17920.0,865.0,1696.0,2097000.0,,,,,,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Inspur SA5212H5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Eastern Asia,Asia,50596,179215,06/2018
